joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1, h term torque_1, current_time
-1.85572,-1.86084,0.00839121,0.000278062,-113,0,1.476
-1.85569,-1.86083,0.00843346,0.00034635,-113,0,1.48
-1.85565,-1.86083,0.0084758,0.000384318,-114,0,1.484
-1.85562,-1.86083,0.00851823,0.000482128,-113,0,1.488
-1.85559,-1.86083,0.00856075,0.00049816,-114,0,1.492
-1.85555,-1.86083,0.00860336,0.000507074,-114,0,1.496
-1.85552,-1.86082,0.00864605,0.000473681,-115,0,1.5
-1.85548,-1.86082,0.00868884,0.000378415,-117,0,1.504
-1.85545,-1.86082,0.00873171,0.000402146,-117,0,1.508
-1.85541,-1.86082,0.00877466,0.00045369,-117,0,1.512
-1.85538,-1.86082,0.00881771,0.00040565,-118,0,1.516
-1.85534,-1.86082,0.00886084,0.000417289,-119,0,1.52
-1.85531,-1.86081,0.00890406,0.00046211,-119,0,1.524
-1.85527,-1.86081,0.00894736,0.00048703,-120,0,1.528
-1.85523,-1.86081,0.00899075,0.000577585,-119,0,1.532
-1.8552,-1.86081,0.00903423,0.000627933,-120,0,1.536
-1.85516,-1.8608,0.0090778,0.000694276,-120,0,1.54
-1.85513,-1.8608,0.00912145,0.000731163,-120,0,1.544
-1.85509,-1.8608,0.00916518,0.000713323,-121,0,1.548
-1.85505,-1.86079,0.00920901,0.000703404,-121,0,1.552
-1.85502,-1.86079,0.00925292,0.000774588,-121,0,1.556
-1.85498,-1.86079,0.00929691,0.000775816,-122,0,1.56
-1.85494,-1.86079,0.00934099,0.000661451,-124,0,1.564
-1.8549,-1.86078,0.00938516,0.000712912,-124,0,1.568
-1.85487,-1.86078,0.00942941,0.000626476,-126,0,1.572
-1.85483,-1.86078,0.00947375,0.000655117,-126,0,1.576
-1.85479,-1.86077,0.00951817,0.000671041,-126,0,1.58
-1.85475,-1.86077,0.00956268,0.000641545,-127,0,1.584
-1.85471,-1.86077,0.00960727,0.000548447,-129,0,1.588
-1.85468,-1.86077,0.00965194,0.000496684,-130,0,1.592
