joint_pos_desired_1, joint_pos_1, joint_vel_desired_1, joint_vel_filtered_1, input torque_1_w.DOB[Nm], DOB Torque Term1[Nm], DOB Torque Term2[Nm], current_time
-0.267986,-0.267775,0.00238267,6.91025e-05,4.90874,9.33582e-06,-4.80618,0.76
-0.267976,-0.267775,0.00240691,7.67782e-05,4.96127,8.25572e-06,-4.85176,0.764
-0.267966,-0.267775,0.00243126,8.10424e-05,5.02194,6.2916e-06,-4.90043,0.768
-0.267956,-0.267774,0.00245573,0.000121799,4.99974,1.97922e-05,-4.95444,0.772
-0.267947,-0.267774,0.00248031,0.000106054,5.1066,4.69988e-06,-4.97457,0.776
-0.267937,-0.267773,0.002505,0.000174083,5.02284,2.98125e-05,-5.03325,0.78
-0.267927,-0.267771,0.0025298,0.000211876,5.00803,3.16745e-05,-5.02862,0.784
-0.267916,-0.26777,0.00255472,0.000271261,4.94414,4.1342e-05,-5.01947,0.788
-0.267906,-0.267768,0.00257975,0.00034264,4.8529,5.15091e-05,-4.98599,0.792
-0.267896,-0.267767,0.00260489,0.000382295,4.83401,4.44724e-05,-4.92684,0.796
-0.267885,-0.267765,0.00263014,0.000442713,4.7679,4.88655e-05,-4.88558,0.8
-0.267875,-0.267763,0.00265551,0.000476279,4.76309,4.0569e-05,-4.83328,0.804
-0.267864,-0.26776,0.00268098,0.000533315,4.70492,4.53442e-05,-4.80208,0.808
-0.267853,-0.267758,0.00270657,0.000565001,4.70465,3.78612e-05,-4.7589,0.812
-0.267842,-0.267756,0.00273227,0.000544217,4.82431,1.27233e-05,-4.73479,0.816
-0.267831,-0.267754,0.00275808,0.00053267,4.92345,2.45144e-06,-4.77458,0.82
-0.26782,-0.267752,0.002784,0.000487867,5.09897,-1.65527e-05,-4.84074,0.824
-0.267809,-0.26775,0.00281004,0.000501365,5.14217,-3.79892e-06,-4.95551,0.828
-0.267798,-0.267748,0.00283618,0.000470476,5.28698,-1.44617e-05,-5.03847,0.832
-0.267786,-0.267746,0.00286244,0.000491703,5.31349,4.53475e-07,-5.14892,0.836
-0.267775,-0.267744,0.0028888,0.000465108,5.44941,-1.03822e-05,-5.22206,0.84
-0.267763,-0.267742,0.00291528,0.000488721,5.47136,3.67382e-06,-5.32311,0.844
-0.267752,-0.26774,0.00294186,0.000540227,5.42993,2.2636e-05,-5.389,0.848
-0.26774,-0.267738,0.00296856,0.000530453,5.52842,8.66762e-06,-5.40719,0.852
-0.267728,-0.267735,0.00299536,0.000563412,5.52989,1.79938e-05,-5.46107,0.856
-0.267716,-0.267733,0.00302228,0.000543334,5.65258,1.9684e-06,-5.49165,0.86
-0.267704,-0.267731,0.0030493,0.00053218,5.75546,-3.36654e-06,-5.56318,0.864
-0.267691,-0.267729,0.00307644,0.000564371,5.75994,1.10014e-05,-5.64864,0.868
-0.267679,-0.267726,0.00310368,0.000620642,5.70969,2.86124e-05,-5.69811,0.872
-0.267667,-0.267723,0.00313104,0.000651905,5.71656,2.83961e-05,-5.70325,0.876
-0.267654,-0.26772,0.0031585,0.00070766,5.66777,3.80698e-05,-5.70917,0.88
-0.267641,-0.267716,0.00318607,0.000815411,5.5004,6.42347e-05,-5.69077,0.884
-0.267629,-0.267713,0.00321375,0.000836885,5.52962,4.42724e-05,-5.60616,0.888
-0.267616,-0.267708,0.00324154,0.000963979,5.31814,7.54147e-05,-5.57215,0.892
-0.267603,-0.267703,0.00326944,0.00107297,5.14755,8.54794e-05,-5.45925,0.896
-0.267589,-0.267698,0.00329745,0.0012103,4.91203,0.0001024,-5.32072,0.9
-0.267576,-0.267691,0.00332556,0.00147854,4.37735,0.000164143,-5.13908,0.904
-0.267563,-0.267685,0.00335378,0.001474,4.46376,8.93781e-05,-4.80053,0.908
-0.267549,-0.267679,0.00338211,0.00147149,4.54602,4.86475e-05,-4.65086,0.912
-0.267536,-0.267672,0.00341055,0.00154686,4.45099,5.71661e-05,-4.60426,0.916
-0.267522,-0.267666,0.0034391,0.00151196,4.60752,1.78041e-05,-4.53614,0.92
-0.267508,-0.267661,0.00346775,0.0014158,4.9045,-2.85607e-05,-4.56787,0.924
-0.267494,-0.267657,0.00349651,0.00124721,5.36779,-8.32779e-05,-4.71748,0.928
-0.26748,-0.267653,0.00352538,0.00115355,5.66163,-8.3716e-05,-5.00651,0.932
-0.267466,-0.26765,0.00355436,0.00102474,6.03671,-9.80138e-05,-5.29767,0.936
-0.267452,-0.267647,0.00358344,0.000876403,6.45761,-0.000113765,-5.62613,0.94
-0.267438,-0.267645,0.00361263,0.000717218,6.90465,-0.000126854,-5.99568,0.944
-0.267423,-0.267643,0.00364193,0.000552006,7.36691,-0.000136535,-6.39967,0.948
-0.267408,-0.267642,0.00367133,0.000421834,7.75072,-0.000127903,-6.82955,0.952
-0.267394,-0.267642,0.00370084,0.00027274,8.17898,-0.000130673,-7.23896,0.956
-0.267379,-0.267642,0.00373045,0.00018991,8.45744,-0.000105716,-7.65675,0.96
-0.267364,-0.267641,0.00376018,0.000143894,8.65287,-7.7131e-05,-8.01261,0.964
-0.267349,-0.267641,0.00379,0.000118329,8.80237,-5.30727e-05,-8.29717,0.968
-0.267333,-0.26764,0.00381994,0.000142514,8.83895,-1.98143e-05,-8.5217,0.972
-0.267318,-0.267639,0.00384998,0.000194338,8.81274,9.71418e-06,-8.6627,0.976
-0.267303,-0.267638,0.00388012,0.000223129,8.83918,1.69091e-05,-8.72938,0.98
-0.267287,-0.267637,0.00391037,0.000239124,8.89507,1.57896e-05,-8.77818,0.984
-0.267271,-0.267636,0.00394073,0.000286399,8.87992,2.76748e-05,-8.83013,0.988
-0.267256,-0.267634,0.00397119,0.000312662,8.91284,2.58764e-05,-8.85226,0.992
-0.26724,-0.267633,0.00400175,0.000327253,8.97266,2.021e-05,-8.87919,0.996
-0.267224,-0.267632,0.00403243,0.000335359,9.04762,1.4469e-05,-8.92073,1
-0.267207,-0.267631,0.0040632,0.000263086,9.30637,-2.08602e-05,-8.97713,1.004
-0.267191,-0.26763,0.00409408,0.000261323,9.40513,-1.22941e-05,-9.12346,1.008
-0.267175,-0.267629,0.00412507,0.000183567,9.67774,-3.79209e-05,-9.24865,1.012
-0.267158,-0.267629,0.00415615,0.00014037,9.87244,-3.83399e-05,-9.43936,1.016
-0.267141,-0.267629,0.00418735,0.000116371,10.0241,-3.08959e-05,-9.63184,1.02
-0.267125,-0.267629,0.00421865,6.46506e-05,10.2395,-3.7845e-05,-9.80616,1.024
-0.267108,-0.267628,0.00425005,7.43049e-05,10.3157,-1.71647e-05,-9.99876,1.028
-0.267091,-0.267628,0.00428155,7.96684e-05,10.4021,-7.39133e-06,-10.1396,1.032
-0.267073,-0.267627,0.00431316,0.000121036,10.4067,1.24347e-05,-10.2563,1.036
-0.267056,-0.267627,0.00434487,0.00010563,10.541,7.48075e-07,-10.3231,1.04
-0.267039,-0.267626,0.00437669,0.000135459,10.5726,1.23429e-05,-10.4199,1.044
-0.267021,-0.267625,0.00440861,0.000190419,10.5472,2.8833e-05,-10.4878,1.048
-0.267003,-0.267624,0.00444063,0.000220952,10.5776,2.82271e-05,-10.5142,1.052
-0.266986,-0.267623,0.00447275,0.000314691,10.464,5.31636e-05,-10.5424,1.056
-0.266968,-0.26762,0.00450498,0.000481931,10.1825,9.64072e-05,-10.5075,1.06
-0.266949,-0.267618,0.00453731,0.000498067,10.2451,6.00115e-05,-10.3631,1.064
-0.266931,-0.267615,0.00456974,0.000545419,10.2369,5.22737e-05,-10.3107,1.068
-0.266913,-0.267613,0.00460228,0.000571726,10.2768,3.95598e-05,-10.2779,1.072
-0.266894,-0.26761,0.00463491,0.000663117,10.1685,5.85206e-05,-10.2774,1.076
-0.266876,-0.267607,0.00466765,0.000637113,10.3279,2.2114e-05,-10.229,1.08
-0.266857,-0.267604,0.00470049,0.000699443,10.2864,3.72083e-05,-10.273,1.084
-0.266838,-0.267601,0.00473344,0.000734071,10.3081,3.45173e-05,-10.279,1.088
-0.266819,-0.267597,0.00476648,0.00090686,10.0148,8.82667e-05,-10.2919,1.092
